seed,mode,nfe,nrmse,obs_residual
0,A_s3gm_pf_guided,10,1.2269561290740967,1.2347630262374878
0,A0_s3gm_pf_unguided,10,1.2269561290740967,1.2347630262374878
0,B_s3fm_learned_guided,10,0.05578240007162094,0.0343799814581871
0,C_s3fm_learned_unguided,10,0.05578240007162094,0.0343799814581871
0,A_s3gm_pf_guided,20,1.256437063217163,1.2674626111984253
0,A0_s3gm_pf_unguided,20,1.256437063217163,1.2674626111984253
0,B_s3fm_learned_guided,20,0.05567352846264839,0.03431524336338043
0,C_s3fm_learned_unguided,20,0.05567352846264839,0.03431524336338043
0,A_s3gm_pf_guided,50,1.28098726272583,1.2937411069869995
0,A0_s3gm_pf_unguided,50,1.28098726272583,1.2937411069869995
0,B_s3fm_learned_guided,50,0.05561147257685661,0.034282732754945755
0,C_s3fm_learned_unguided,50,0.05561147257685661,0.034282732754945755
0,A_s3gm_pf_guided,100,1.2905993461608887,1.3039337396621704
0,A0_s3gm_pf_unguided,100,1.2905993461608887,1.3039337396621704
0,B_s3fm_learned_guided,100,0.05559322610497475,0.03427361324429512
0,C_s3fm_learned_unguided,100,0.05559322610497475,0.03427361324429512
0,A_s3gm_pf_guided,500,1.2987418174743652,1.3126170635223389
0,A0_s3gm_pf_unguided,500,1.2987418174743652,1.3126170635223389
0,B_s3fm_learned_guided,500,0.055579639971256256,0.03426692634820938
0,C_s3fm_learned_unguided,500,0.055579639971256256,0.03426692634820938
