seed,mode,nfe,nrmse,obs_residual
0,A_s3gm_pf_guided,10,1.2052727937698364,1.2118401527404785
0,A0_s3gm_pf_unguided,10,1.2269561290740967,1.2347630262374878
0,B_s3fm_learned_guided,10,0.05575045198202133,0.03430826961994171
0,C_s3fm_learned_unguided,10,0.05578240007162094,0.0343799814581871
0,A_s3gm_pf_guided,20,1.2348204851150513,1.244727611541748
0,A0_s3gm_pf_unguided,20,1.256437063217163,1.2674626111984253
0,B_s3fm_learned_guided,20,0.055641528218984604,0.03424275666475296
0,C_s3fm_learned_unguided,20,0.05567352846264839,0.03431524336338043
0,A_s3gm_pf_guided,50,1.2589036226272583,1.2706397771835327
0,A0_s3gm_pf_unguided,50,1.28098726272583,1.2937411069869995
0,B_s3fm_learned_guided,50,0.05557944253087044,0.034209515899419785
0,C_s3fm_learned_unguided,50,0.05561147257685661,0.034282732754945755
