mode,nfe,n_seeds,nrmse_mean,nrmse_std,obs_residual_mean,obs_residual_std
A_gauss_guided,10,1,0.09682066738605499,0.0,0.07698512077331543,0.0
B_info_guided,10,1,0.01573188044130802,0.0,0.007501637563109398,0.0
C_info_unguided,10,1,0.02119552344083786,0.0,0.016907742246985435,0.0
A_gauss_guided,20,1,0.09576327353715897,0.0,0.07507563382387161,0.0
B_info_guided,20,1,0.01567920669913292,0.0,0.007517775055021048,0.0
C_info_unguided,20,1,0.02111113630235195,0.0,0.016881490126252174,0.0
A_gauss_guided,50,1,0.09549940377473831,0.0,0.0750645101070404,0.0
B_info_guided,50,1,0.015660205855965614,0.0,0.007515888195484877,0.0
C_info_unguided,50,1,0.021068569272756577,0.0,0.01687842421233654,0.0
A_gauss_guided,100,1,0.0953083336353302,0.0,0.07479619979858398,0.0
B_info_guided,100,1,0.015657713636755943,0.0,0.00752205029129982,0.0
C_info_unguided,100,1,0.021056827157735825,0.0,0.016879253089427948,0.0
