seed,mode,nfe,nrmse,obs_residual
0,A_s3gm_pf_guided,10,149.07786560058594,364.8260803222656
0,A0_s3gm_pf_unguided,10,1.2269561290740967,1.2347630262374878
0,B_s3fm_learned_guided,10,0.05430179089307785,0.03108365833759308
0,C_s3fm_learned_unguided,10,0.05578240007162094,0.0343799814581871
0,A_s3gm_pf_guided,20,0.6683521866798401,0.6356275081634521
0,A0_s3gm_pf_unguided,20,1.256437063217163,1.2674626111984253
0,B_s3fm_learned_guided,20,0.05419667065143585,0.030993720516562462
0,C_s3fm_learned_unguided,20,0.05567352846264839,0.03431524336338043
0,A_s3gm_pf_guided,50,0.6790481209754944,0.6470057368278503
0,A0_s3gm_pf_unguided,50,1.28098726272583,1.2937411069869995
0,B_s3fm_learned_guided,50,0.0541374646127224,0.030934637412428856
0,C_s3fm_learned_unguided,50,0.05561147257685661,0.034282732754945755
